"id";"geohash";"lat";"lon";"descr"
557;"u0u6k7kt";49.6331;6.1697;"Dessert Shop"
558;"u0u6k7kn";49.6332;6.169;"Candy Store"
559;"u36rcwgn";53.4318;14.4843;"Playground"
560;"u36rcwfy";53.4318;14.4839;"Playground"
561;"u36rgr02";53.4321;14.5574;"Government Building"
562;"u36rgr0d";53.4324;14.5577;"Government Building"
563;"u36rgr09";53.4323;14.5577;"Government Building"
564;"u36rcwfv";53.4316;14.4839;"Playground"
565;"u36rgr03";53.4323;14.5574;"Government Building"
566;"u36rgr06";53.4324;14.5574;"Government Building"
567;"u36rgr01";53.4323;14.5571;"Government Building"
568;"u36rgr0e";53.4326;14.5577;"Government Building"
569;"u36rgr0m";53.433;14.5574;"Lounge"
570;"u36rgr0u";53.4328;14.5581;"Government Building"
571;"u36rgr08";53.4321;14.5577;"Government Building"
572;"u36rgr0y";53.4331;14.5581;"Shoe Store"
573;"u36rttb9";53.3815;14.6566;"Bank"
574;"u36rgr14";53.4324;14.5584;"Government Building"
575;"u36rgr0f";53.4324;14.5581;"Government Building"
576;"u36rcwgj";53.4316;14.4843;"Playground"
577;"u36rgr0x";53.4333;14.5577;"Shoe Store"
578;"u36rcwgq";53.4318;14.4846;"Playground"
579;"u36rgn74";53.4283;14.5502;"Salad Place"
580;"u3es2466";54.1974;16.1751;"Gas Station"
581;"u3d242jq";53.4386;14.5203;"Café"
582;"u3tjr5uv";54.3819;18.5956;"Hotel"
583;"u3tjr5uu";54.3817;18.5956;"Hotel"
584;"u3tjr5v7";54.3816;18.5963;"Bistro"
585;"u3tjr5u7";54.3816;18.5949;"Bistro"
586;"u3tjr5ut";54.3819;18.5952;"Hotel"
587;"u3tjreen";54.3807;18.6151;"Building"
588;"u3tjredu";54.3804;18.6148;"Government Building"
589;"u3tjreej";54.3805;18.6151;"Building"
590;"u3qcn18g";52.2159;21.0071;"Gas Station"
591;"u3qcn18e";52.2159;21.0067;"Gas Station"
592;"u3qcn18d";52.2157;21.0067;"Gas Station"
593;"u1517842";50.8448;4.3758;"Office"
594;"u151nemv";50.8196;4.5125;"Auto Dealership"
595;"u151nemv";50.8196;4.5125;"Skate Park"
596;"u151nemy";50.8198;4.5125;"none"
597;"u151nemt";50.8196;4.5121;"Auto Dealership"
598;"u151nemv";50.8196;4.5125;"none"
599;"u151nemy";50.8198;4.5125;"Auto Dealership"
600;"u151hnn0";50.8338;4.4029;"Doctor's Office"
601;"u151hjk9";50.8299;4.4009;"Residential Building (Apartment / Condo)"
602;"u151hqf2";50.838;4.4088;"Flower Shop"
603;"swbbh7zw";37.9905;23.7519;"Comedy Club"
604;"u2j5fbyf";45.6637;18.4115;"none"
605;"u2j5fcns";45.6655;18.4112;"none"
606;"u2j6fjrr";45.5135;18.7308;"none"
607;"u2j5enhk";45.649;18.4191;"Convenience Store"
608;"u2j5ep84";45.6569;18.4133;"Bus Station"
609;"u2j71jg3";45.5592;18.6814;"College Science Building"
610;"u2j5fcnu";45.6655;18.4115;"none"
611;"u2j5epsu";45.6572;18.4198;"Boutique"
612;"u2j71enw";45.5449;18.7078;"Pet Store"
613;"u2j71j0p";45.5561;18.6769;"Furniture / Home Store"
614;"u2j71n50";45.5604;18.6811;"Office"
615;"u2j5fbyc";45.6636;18.4115;"none"
616;"u2j6fjrp";45.5135;18.7305;"none"
617;"ud9wr29u";60.1647;24.9306;"Residential Building (Apartment / Condo)"
618;"u2j73205";45.5719;18.6879;"none"
